data_ID, Condition, Dimension, Video_ID
_l17c8jhmo, Generative, tension, Generative_1
Timestamp,Rating
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,1
6.5,1
6.75,1
7,1
7.25,1
7.5,1
7.75,1
8,1
8.25,1
8.5,1
8.75,1
9,1
9.25,1
9.5,1
9.75,1
10,1
10.25,1
10.5,1
10.75,1
11,1
11.25,1
11.5,1
11.75,1
12,1
12.25,1
12.5,1
12.75,1
13,1
13.25,1
13.5,1
13.75,1
14,1
14.25,1
14.5,1
14.75,1
15,1
15.25,1
15.5,1
15.75,1
16,0
16.25,0
16.5,1
16.75,2
17,3
17.25,3
17.5,3
17.75,3
18,3
18.25,3
18.5,3
18.75,3
19,3
19.25,3
19.5,3
19.75,3
20,3
20.25,3
20.5,4
20.75,5
21,6
21.25,7
21.5,8
21.75,9
22,9
22.25,9
22.5,9
22.75,9
23,9
23.25,8
23.5,7
23.75,6
24,5
24.25,4
24.5,4
24.75,4
25,4
25.25,4
25.5,4
25.75,3
26,2
26.25,1
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,1
30.25,2
30.5,3
30.75,4
31,5
31.25,6
31.5,7
31.75,8
32,8
32.25,8
32.5,7
32.75,7
33,7
33.25,7
33.5,7
33.75,7
34,6
34.25,5
34.5,4
34.75,3
35,2
35.25,2
35.5,2
35.75,2
36,2
36.25,2
36.5,3
36.75,4
37,4
37.25,4
37.5,4
37.75,4
38,4
38.25,4
38.5,4
38.75,4
39,4
39.25,4
39.5,4
39.75,4
40,4
40.25,4
40.5,5
40.75,6
41,7
41.25,8
41.5,9
41.75,10
42,10
42.25,10
42.5,10
42.75,10
43,10
43.25,10
43.5,10
43.75,11
44,10
44.25,9
44.5,9
44.75,8
45,7
45.25,6
45.5,5
45.75,4
46,3
46.25,2
46.5,2
46.75,2
47,2
47.25,2
47.5,2
47.75,2
48,3
48.25,4
48.5,5
48.75,6
49,7
49.25,8
49.5,9
49.75,10
50,11
50.25,12
50.5,12
50.75,11
51,10
51.25,9
51.5,8
51.75,7
52,6
52.25,5
52.5,4
52.75,4
53,4
53.25,5
53.5,6
53.75,7
54,8
54.25,9
54.5,10
54.75,11
55,12
55.25,12
55.5,12
55.75,12
56,11
56.25,10
56.5,10
56.75,9
57,8
57.25,7
57.5,6
57.75,5
58,4
58.25,3
58.5,2
58.75,1
59,0
59.25,0
59.5,0
59.75,0
60,0
60.25,0
60.5,0
60.75,0
61,0
61.25,0
61.5,0
61.75,0
62,0
62.25,0
62.5,0
62.75,0
63,0
63.25,0
63.5,0
63.75,0
64,0
64.25,0
64.5,0
64.75,0
65,-1
65.25,-2
65.5,-3
65.75,-3
66,-3
66.25,-3
66.5,-3
66.75,-3
67,-3
67.25,-3
67.5,-3
67.75,-3
68,-3
68.25,-3
68.5,-4
68.75,-5
69,-6
69.25,-6
69.5,-6
69.75,-6
70,-6
70.25,-6
70.5,-6
70.75,-6
71,-6
71.25,-6
71.5,-6
71.75,-6
72,-6
72.25,-6
72.5,-6
72.75,-6
73,-6
73.25,-6
73.5,-6
73.75,-6
74,-6
74.25,-6
74.5,-5
74.75,-4
75,-3
75.25,-2
75.5,-2
75.75,-1
76,-1
76.25,-1
76.5,-1
76.75,-1
77,-1
77.25,-1
77.5,-1
77.75,-1
78,-1
78.25,-1
78.5,-1
78.75,-1
79,-1
79.25,-1
79.5,-1
79.75,-1
80,-1
80.25,-1
80.5,-1
80.75,-1
81,-1
81.25,-1
81.5,-1
81.75,-1
82,-1
82.25,-1
82.5,-1
82.75,-1
83,-1
83.25,-1
83.5,-1
83.75,-1
84,0
84.25,1
84.5,1
84.75,1
85,1
85.25,1
85.5,1
85.75,1
86,2
86.25,3
86.5,4
86.75,5
87,6
87.25,7
87.5,8
87.75,9
88,10
88.25,10
88.5,10
88.75,10
89,10
89.25,10
89.5,9
89.75,9
90,8
