data_ID, Condition, Dimension, Video_ID
_l17c8jhmo, Adaptive, tension, Adaptive_2
Timestamp,Rating
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,1
8.25,1
8.5,2
8.75,3
9,4
9.25,5
9.5,6
9.75,7
10,8
10.25,7
10.5,7
10.75,6
11,5
11.25,6
11.5,6
11.75,7
12,8
12.25,9
12.5,10
12.75,11
13,12
13.25,13
13.5,14
13.75,13
14,13
14.25,12
14.5,11
14.75,12
15,12
15.25,13
15.5,14
15.75,15
16,16
16.25,17
16.5,18
16.75,19
17,20
17.25,21
17.5,22
17.75,22
18,21
18.25,21
18.5,20
18.75,19
19,18
19.25,17
19.5,17
19.75,18
20,19
20.25,20
20.5,21
20.75,22
21,23
21.25,24
21.5,25
21.75,26
22,27
22.25,28
22.5,28
22.75,29
23,29
23.25,30
23.5,31
23.75,32
24,33
24.25,34
24.5,35
24.75,36
25,37
25.25,36
25.5,36
25.75,35
26,34
26.25,33
26.5,32
26.75,31
27,30
27.25,29
27.5,28
27.75,27
28,26
28.25,25
28.5,24
28.75,23
29,22
29.25,23
29.5,23
29.75,24
30,25
30.25,26
30.5,26
30.75,26
31,26
31.25,26
31.5,26
31.75,26
32,25
32.25,25
32.5,24
32.75,23
33,22
33.25,21
33.5,20
33.75,19
34,18
34.25,17
34.5,16
34.75,15
35,14
35.25,13
35.5,12
35.75,11
36,10
36.25,9
36.5,9
36.75,10
37,11
37.25,12
37.5,13
37.75,14
38,15
38.25,16
38.5,17
38.75,18
39,19
39.25,20
39.5,21
39.75,22
40,21
40.25,21
40.5,20
40.75,19
41,18
41.25,17
41.5,16
41.75,15
42,14
42.25,13
42.5,12
42.75,12
43,11
43.25,11
43.5,12
43.75,12
44,13
44.25,14
44.5,15
44.75,16
45,17
45.25,18
45.5,19
45.75,20
46,21
46.25,22
46.5,23
46.75,24
47,25
47.25,26
47.5,25
47.75,25
48,24
48.25,23
48.5,22
48.75,21
49,20
49.25,19
49.5,18
49.75,17
50,16
50.25,15
50.5,14
50.75,13
51,13
51.25,14
51.5,14
51.75,15
52,15
52.25,16
52.5,17
52.75,18
53,19
53.25,20
53.5,21
53.75,22
54,23
54.25,24
54.5,25
54.75,26
55,25
55.25,25
55.5,24
55.75,23
56,22
56.25,22
56.5,22
56.75,23
57,23
57.25,24
57.5,25
57.75,26
58,27
58.25,28
58.5,29
58.75,28
59,28
59.25,27
59.5,26
59.75,25
60,24
60.25,23
60.5,22
60.75,21
61,20
61.25,19
61.5,18
61.75,17
62,16
62.25,16
62.5,16
62.75,16
63,16
63.25,16
63.5,16
63.75,15
64,15
64.25,15
64.5,15
64.75,15
65,15
65.25,15
65.5,15
65.75,15
66,16
66.25,16
66.5,17
66.75,18
67,19
67.25,20
67.5,20
67.75,20
68,21
68.25,21
68.5,21
68.75,21
69,20
69.25,20
69.5,19
69.75,18
70,17
70.25,16
70.5,15
70.75,14
71,13
71.25,12
71.5,11
71.75,10
72,10
72.25,10
72.5,10
72.75,10
73,10
73.25,10
73.5,10
73.75,9
74,9
74.25,8
74.5,7
74.75,6
75,5
75.25,5
75.5,4
75.75,4
76,3
76.25,2
76.5,1
76.75,0
77,-1
77.25,-1
77.5,-1
77.75,-1
78,-1
78.25,-1
78.5,-1
78.75,-1
79,-1
79.25,-1
79.5,-1
79.75,-1
80,0
80.25,0
80.5,1
80.75,2
81,3
81.25,4
81.5,5
81.75,6
82,7
82.25,8
82.5,9
82.75,10
83,11
83.25,12
83.5,12
83.75,13
84,14
84.25,15
84.5,16
84.75,17
85,18
85.25,19
85.5,20
85.75,21
86,22
86.25,22
86.5,23
86.75,23
87,24
87.25,25
87.5,26
87.75,27
88,28
88.25,29
88.5,30
88.75,31
89,32
89.25,33
89.5,32
89.75,32
90,31
90.25,30
90.5,29
90.75,28
91,27
91.25,26
91.5,25
91.75,24
92,23
92.25,22
92.5,21
92.75,20
